CONTRACTOR NUMBER,CONTRACTOR NAME,JURISDICTION,PART,DATE,CLAIM COUNT,TOTAL SUBMITTED AMOUNT,TOTAL ALLOWED AMOUNT,TOTAL PAID/EXPENDITURE AMOUNT,TOTAL DENIED AMOUNT
10029,RHODE ISLAND - NATIONAL GOVERNMENT SERVICES INC.,JK,Part B,08/09/2025,192,76992,60127.03,53459.05,16864.97
10030,"PENNSYLVANIA - NOVITAS SOLUTIONS, INC.",JL,Part B,06/07/2025,266,131936,110348.22,100002.67,21587.78
10031,ARIZONA - NORIDIAN ADMINISTRATIVE SERVICES,JF,Part B,07/01/2025,221,97240,74917.99,64513.07,22322.01
10032,ALASKA - NORIDIAN ADMINISTRATIVE SERVICES,JF,Part B,11/11/2025,68,27200,22509.29,19954.94,4690.71
10033,WEST VIRGINIA - PALMETTO GBA,JM,Part B,01/01/2025,155,82770,63562.51,57676.14,19207.49
10034,ARIZONA - NORIDIAN ADMINISTRATIVE SERVICES,JF,Part B,02/02/2025,192,87360,72183.34,64298.73,15176.66
10035,"ILLINOIS - NATIONAL GOVERNMENT SERVICES, INC.",J6,Part B,12/16/2025,269,157365,132206.86,115446.19,25158.14
10036,"MARYLAND - NOVITAS SOLUTIONS, INC.",JL,Part B,08/18/2025,279,148428,113630.56,98199.0,34797.44
10037,WASHINGTON - NORIDIAN ADMINISTRATIVE SERVICES,JF,Part B,03/30/2025,269,117015,90092.21,84259.77,26922.79
10038,WEST VIRGINIA - PALMETTO GBA,JM,Part B,03/18/2025,51,29937,24910.06,23024.29,5026.94
10039,"NEW JERSEY - NOVITAS SOLUTIONS, INC.",JL,Part B,09/06/2025,61,34221,27359.25,23865.55,6861.75
10040,"ARKANSAS - NOVITAS SOLUTIONS, INC",JH,Part B,04/27/2025,179,82340,64100.57,55239.84,18239.43
10041,UTAH - NORIDIAN ADMINISTRATIVE SERVICES,JF,Part B,12/19/2025,64,35520,27651.33,25595.01,7868.67
10042,ALASKA - NORIDIAN ADMINISTRATIVE SERVICES,JF,Part B,02/11/2025,110,49830,39663.24,35604.11,10166.76
10043,"ARKANSAS - NOVITAS SOLUTIONS, INC",JH,Part B,08/08/2025,131,55544,43932.42,41577.47,11611.58
10044,MASSACHUSETTS - NATIONAL GOVERNMENT SERVICES INC.,JK,Part B,06/25/2025,203,85666,69522.92,64851.07,16143.08
10045,VERMONT - NATIONAL GOVERNMENT SERVICES INC.,JK,Part B,08/11/2025,262,143838,113461.4,105255.19,30376.6
10046,IOWA - WISCONSIN PHYSICIANS SERVICE,J5,Part B,10/06/2025,164,86428,68081.91,61673.73,18346.09
10047,FLORIDA - FIRST COAST SERVICE OPTIONS,JN,Part B,11/17/2025,295,128030,105094.82,90291.43,22935.18
10048,ARIZONA - NORIDIAN ADMINISTRATIVE SERVICES,JF,Part B,04/22/2025,158,66676,53632.76,45591.51,13043.24
10049,"MARYLAND - NOVITAS SOLUTIONS, INC.",JL,Part B,08/10/2025,237,114945,87966.08,77840.44,26978.92
10050,MICHIGAN - WISCONSIN PHYSICIANS SERVICE,J8,Part B,03/31/2025,230,136390,102705.72,90727.11,33684.28
10051,RHODE ISLAND - NATIONAL GOVERNMENT SERVICES INC.,JK,Part B,09/16/2025,138,74382,58309.99,51897.31,16072.01
10052,ARIZONA - NORIDIAN ADMINISTRATIVE SERVICES,JF,Part B,04/12/2025,55,25025,19366.66,18221.72,5658.34
10053,WEST VIRGINIA - PALMETTO GBA,JM,Part B,03/14/2025,126,57834,49064.13,46051.39,8769.87
10054,IOWA - WISCONSIN PHYSICIANS SERVICE,J5,Part B,04/05/2025,204,83232,70272.05,65956.31,12959.95
10055,"NEW JERSEY - NOVITAS SOLUTIONS, INC.",JL,Part B,07/30/2025,85,34340,28056.61,23981.36,6283.39
10056,FLORIDA - FIRST COAST SERVICE OPTIONS,JN,Part B,05/05/2025,158,77104,58455.51,54918.82,18648.49
10057,"TEXAS - NOVITAS SOLUTIONS, INC.",JH,Part B,02/07/2025,202,102818,86084.0,77954.28,16734.0
10058,UTAH - NORIDIAN ADMINISTRATIVE SERVICES,JF,Part B,11/27/2025,72,41616,31397.46,27036.14,10218.54
10059,FLORIDA - FIRST COAST SERVICE OPTIONS,JN,Part B,06/29/2025,220,100980,81954.22,71463.95,19025.78
10060,"NEW JERSEY - NOVITAS SOLUTIONS, INC.",JL,Part B,09/24/2025,247,147953,124271.73,117021.03,23681.27
10061,WISCONSIN - NATIONAL GOVERNMENT SERVICES INC.,J6,Part B,01/15/2025,102,42228,34138.35,29952.83,8089.65
10062,"NEW JERSEY - NOVITAS SOLUTIONS, INC.",JL,Part B,07/18/2025,266,121030,91594.31,79337.08,29435.69
10063,VIRGINIA - PALMETTO GBA,JM,Part B,08/23/2025,201,106932,88184.42,81193.22,18747.58
10064,WISCONSIN - NATIONAL GOVERNMENT SERVICES INC.,J6,Part B,06/04/2025,225,90675,69414.57,65474.82,21260.43
10065,UTAH - NORIDIAN ADMINISTRATIVE SERVICES,JF,Part B,03/03/2025,136,61064,48771.6,41700.84,12292.4
10066,FLORIDA - FIRST COAST SERVICE OPTIONS,JN,Part B,03/22/2025,237,132009,101820.1,95918.77,30188.9
10067,WISCONSIN - NATIONAL GOVERNMENT SERVICES INC.,J6,Part B,08/07/2025,92,50876,38405.3,35707.61,12470.7
10068,VIRGINIA - PALMETTO GBA,JM,Part B,10/13/2025,233,131878,110309.48,94825.35,21568.52
10069,"ARKANSAS - NOVITAS SOLUTIONS, INC",JH,Part B,10/31/2025,132,55440,43719.06,38967.66,11720.94
10070,ALASKA - NORIDIAN ADMINISTRATIVE SERVICES,JF,Part B,10/15/2025,141,58797,49224.98,43005.58,9572.02
10071,MASSACHUSETTS - NATIONAL GOVERNMENT SERVICES INC.,JK,Part B,12/19/2025,132,73392,60151.7,54530.79,13240.3
10072,"PENNSYLVANIA - NOVITAS SOLUTIONS, INC.",JL,Part B,12/20/2025,63,33264,27726.84,25126.9,5537.16
10073,UTAH - NORIDIAN ADMINISTRATIVE SERVICES,JF,Part B,12/08/2025,170,96220,75544.26,67075.14,20675.74
10074,ALASKA - NORIDIAN ADMINISTRATIVE SERVICES,JF,Part B,08/13/2025,151,60702,47143.65,42694.84,13558.35
10075,VERMONT - NATIONAL GOVERNMENT SERVICES INC.,JK,Part B,02/10/2025,121,67639,55723.29,49243.23,11915.71
10076,WISCONSIN - NATIONAL GOVERNMENT SERVICES INC.,J6,Part B,12/18/2025,51,21828,17464.44,16384.05,4363.56
10077,ARIZONA - NORIDIAN ADMINISTRATIVE SERVICES,JF,Part B,10/17/2025,142,73556,57555.93,50890.26,16000.07
10078,"PENNSYLVANIA - NOVITAS SOLUTIONS, INC.",JL,Part B,09/07/2025,102,55488,46537.6,42476.01,8950.4
10079,"TEXAS - NOVITAS SOLUTIONS, INC.",JH,Part B,01/18/2025,119,61404,49950.02,44350.22,11453.98
10080,ALASKA - NORIDIAN ADMINISTRATIVE SERVICES,JF,Part B,06/16/2025,130,62530,49378.64,43771.22,13151.36
10081,"TEXAS - NOVITAS SOLUTIONS, INC.",JH,Part B,08/28/2025,139,69639,52555.61,49492.43,17083.39
10082,IOWA - WISCONSIN PHYSICIANS SERVICE,J5,Part B,09/29/2025,96,48384,36508.22,31319.02,11875.78
10083,VERMONT - NATIONAL GOVERNMENT SERVICES INC.,JK,Part B,04/01/2025,164,83804,70181.88,63914.44,13622.12
10084,"OHIO - CGS ADMINISTRATORS, LLC",J15,Part B,03/19/2025,185,81770,67629.41,57857.53,14140.59
10085,WASHINGTON - NORIDIAN ADMINISTRATIVE SERVICES,JF,Part B,05/08/2025,166,68724,56177.64,49229.17,12546.36
10086,ARIZONA - NORIDIAN ADMINISTRATIVE SERVICES,JF,Part B,02/08/2025,159,68529,55793.29,47481.86,12735.71
10087,MASSACHUSETTS - NATIONAL GOVERNMENT SERVICES INC.,JK,Part B,03/15/2025,122,67832,57080.7,50166.33,10751.3
10088,WASHINGTON - NORIDIAN ADMINISTRATIVE SERVICES,JF,Part B,11/22/2025,215,96105,80821.5,76779.85,15283.5
10089,FLORIDA - FIRST COAST SERVICE OPTIONS,JN,Part B,11/05/2025,90,44730,34509.1,31023.73,10220.9
10090,RHODE ISLAND - NATIONAL GOVERNMENT SERVICES INC.,JK,Part B,07/10/2025,78,38766,31597.39,29420.44,7168.61
10091,"TEXAS - NOVITAS SOLUTIONS, INC.",JH,Part B,12/11/2025,162,95904,75447.8,64664.27,20456.2
10092,"MARYLAND - NOVITAS SOLUTIONS, INC.",JL,Part B,06/27/2025,278,140390,109840.83,100479.16,30549.17
10093,"ILLINOIS - NATIONAL GOVERNMENT SERVICES, INC.",J6,Part B,05/25/2025,136,60928,47442.35,42970.88,13485.65
10094,WASHINGTON - NORIDIAN ADMINISTRATIVE SERVICES,JF,Part B,01/12/2025,62,33976,27187.13,23760.14,6788.87
10095,WISCONSIN - NATIONAL GOVERNMENT SERVICES INC.,J6,Part B,01/26/2025,50,24450,18348.1,17184.96,6101.9
10096,RHODE ISLAND - NATIONAL GOVERNMENT SERVICES INC.,JK,Part B,06/18/2025,288,142272,115839.16,105565.5,26432.84
10097,WEST VIRGINIA - PALMETTO GBA,JM,Part B,01/02/2025,124,53692,40628.12,34728.35,13063.88
10098,WEST VIRGINIA - PALMETTO GBA,JM,Part B,01/17/2025,55,32285,27366.96,23575.12,4918.04
10099,VIRGINIA - PALMETTO GBA,JM,Part B,01/11/2025,290,166750,133213.55,122631.7,33536.45
