LOB,PHYSICAL_COLUMN_NAME,LOGICAL_COLUMN_NAME,TABLE_COLUMN_NAME,DESCRIPTION,LONG_DESCRIPTION,LOAD_FREQUENCY
DME,OffsetProv,Provider Offset,tblClaims.OffsetProv,Dollar amount offset against the provider for prior identified overpayments; non-zero values flag providers already under recoupment,"This field captures dollars withheld or offset against the provider to recover prior identified overpayments. Any non-zero value is significant because it shows the provider was already under active recoupment; continued and escalating billing by such a provider is a strong recidivism signal and a hallmark of bust-out fraud schemes.",quarterly
DME,OffsetProv_log,Provider Offset (Log),derived.OffsetProv_log,"Natural-log transform of the provider offset amount, used to normalize skewed values for analysis","This is the natural-logarithm transformation of the provider offset amount. Because most claims carry no offset, the log form floors the many zero values while still differentiating the magnitude of active recoupments, letting the variable function as a graded recidivism indicator in models and visualizations.",quarterly
DME,Coins,Coinsurance,tblClaims.Coins,Coinsurance dollar amount owed on the claim; values far below the standard twenty percent may indicate improper coinsurance waiver,"This field records the coinsurance dollar amount owed on the claim, normally twenty percent of the allowed amount. Values substantially below that benchmark, particularly near zero, suggest improper coinsurance waiver, which like deductible waiver constitutes an unlawful inducement and is a recurring feature of fraudulent DME billing.",daily
DME,Coins_log,Coinsurance (Log),derived.Coins_log,"Natural-log transform of the coinsurance amount, used to normalize the distribution for correlation analysis","This is the natural-logarithm transformation of the coinsurance amount. It normalizes the field for inclusion in correlation matrices, where the breakdown of the expected proportional relationship between coinsurance and the paid amount becomes a detectable fraud signature.",daily
DME,AllowedAmt,Allowed Amount,tblClaims.AllowedAmt,"Medicare-approved allowed dollar amount for the claim, serving as the benchmark for evaluating submitted and paid amounts","This field represents the Medicare-approved allowed amount for the claim, the ceiling against which submitted charges and actual payments are evaluated. It provides the reference point for identifying upcoding and overbilling, since a wide and persistent gap between allowed and submitted amounts is a documented fraud pattern.",daily
DME,AllowedAmt_log,Allowed Amount (Log),derived.AllowedAmt_log,"Natural-log transform of the allowed amount, used to normalize skewed values for analysis","This is the natural-logarithm transformation of the allowed amount. By compressing the skewed dollar distribution it keeps the variable comparable in scale to other log-transformed monetary features, improving the behavior of clustering algorithms and correlation analysis.",daily
DME,Total_Medicare_Payments,Total Medicare Payments,derived.Total_Medicare_Payments,Cumulative Medicare dollars paid to the provider across claims; used to identify providers with abnormally high total payments,"This field aggregates the cumulative Medicare dollars paid to a provider across all of their claims. It elevates the analysis from the individual claim to the provider level, exposing suppliers whose total program payments are abnormally high relative to peers and serving as a core dimension for provider-level fraud segmentation.",monthly
DME,Total_Medicare_Payments_log,Total Medicare Payments (Log),derived.Total_Medicare_Payments_log,"Natural-log transform of total Medicare payments, commonly used as the X-axis in fraud scatter analysis","This is the natural-logarithm transformation of total Medicare payments. It is the conventional X-axis for fraud scatter plots because it allows providers spanning several orders of magnitude in total payments to be displayed and compared on a single, interpretable scale.",monthly
DME,Pmts_Per_Beneficiary,Payments per Beneficiary,derived.Pmts_Per_Beneficiary,Average Medicare payment per unique beneficiary served; an unusually high ratio is a strong utilization-based fraud signal,"This field expresses the average Medicare payment per unique beneficiary served by a provider, combining cost and volume into one utilization ratio. An unusually high value indicates that a provider is extracting large dollars from a small patient base, one of the strongest single indicators of utilization-driven fraud such as patient recycling or phantom billing.",monthly
DME,Pmts_Per_Beneficiary_log,Payments per Beneficiary (Log),derived.Pmts_Per_Beneficiary_log,"Natural-log transform of payments per beneficiary, commonly used as the Y-axis in fraud scatter analysis","This is the natural-logarithm transformation of payments per beneficiary. It is the conventional Y-axis for fraud scatter plots, pairing with log total payments to produce the characteristic separation of high-risk providers into a dense upper-right cluster.",monthly
DME,Unique_Beneficiaries,Unique Beneficiaries,derived.Unique_Beneficiaries,Count of distinct beneficiaries served by the provider; a low count paired with high dollars suggests patient recycling,"This field counts the distinct beneficiaries associated with a provider's claims and serves as the denominator for utilization ratios. A low beneficiary count combined with high total payments is a powerful red flag, pointing to patient brokering, identity reuse, or fabricated encounters.",monthly
DME,BillingSupplierId,Billing Supplier ID,tblClaims.BillingSupplierId,Identifier of the billing supplier on the claim; used to aggregate claim activity to the supplier level,"This field identifies the supplier that submitted the claim and is the primary key for rolling claim-level activity up to the supplier level. Aggregation on this identifier reveals concentration patterns, where a handful of suppliers account for a disproportionate share of high-dollar or high-risk claims.",daily
DME,HICN,Health Insurance Claim Number,tblClaims.HICN,Health Insurance Claim Number identifying the beneficiary; used to count distinct beneficiaries and detect patient brokering,"This field is the Health Insurance Claim Number identifying the Medicare beneficiary on the claim. Beyond linking claims to patients, it enables distinct-beneficiary counts per supplier that surface patient brokering schemes, where many high-dollar claims trace back to comparatively few unique beneficiaries.",daily
DME,ClaimType,Claim Type,tblClaims.ClaimType,"Category of the claim such as DME, orthotics, oxygen, or supplies; used to segment claims by service type","This field categorizes the claim by service line such as durable medical equipment, orthotics, oxygen, or supplies. It supports segmentation of billing behavior by service type and helps isolate the categories, predominantly DME in this dataset, where fraudulent activity concentrates.",daily
DME,DiagCode1,Primary Diagnosis Code,tblClaims.DiagCode1,Primary diagnosis code supporting medical necessity; vague or mismatched codes are a documentation-fraud signal,"This field holds the primary diagnosis code that must justify the medical necessity of the item or service billed. Vague, generic, or clinically mismatched codes relative to the equipment supplied are a leading documentation-fraud signature and a frequent basis for claim denial and investigation.",daily
DME,DatePaid,Date Paid,tblClaims.DatePaid,Date the claim was paid; used for time-series and spike-detection analysis of billing behavior,"This field records the date the claim was paid and is the temporal backbone of the analysis. It drives time-series and spike-detection views that expose coordinated billing surges, such as end-of-cycle bust-out patterns timed immediately before month-end review processes.",daily
DME,ProvId,Provider ID,tblProviders.ProvId,Internal unique provider identifier used to join claim records to the provider master table,"This field is the internal unique provider identifier used to join claim records to the provider master table. It guarantees reliable provider-level aggregation even when external identifiers change, and underpins every analysis that combines claim metrics with provider attributes.",annually
DME,ProvNPI,Provider NPI,tblProviders.ProvNPI,National Provider Identifier for the provider or supplier; the standard external identifier in fraud referrals,"This field is the National Provider Identifier, the standardized ten-digit external identifier for the provider or supplier. It is the identifier used in fraud referrals, exclusion checks, and cross-system reconciliation, making it essential for connecting internal findings to enterprise and federal records.",annually
DME,ProviderLName,Provider Last Name,tblProviders.ProviderLName,Last name of the provider or supplier; used for display and provider-level identification,"This field carries the last name of the provider or supplier and is used primarily for display, reporting, and analyst-facing identification. In provider-level visualizations it labels the entities driving suspicious billing, translating abstract identifiers into recognizable names.",annually
DME,PALS,PAL Risk Flag,tblProviders.PALS,Flag indicating whether the provider was classified as high fraud risk by the PAL predictive model (TRUE or FALSE),"This field is a boolean flag indicating whether the provider was classified as high fraud risk by the PAL predictive model prior to claim review. As model output joined to the live claims stream, it converts a static risk score into an operational early-warning signal, allowing flagged providers' billing surges to be intercepted before payment.",monthly
DME,DCN,Document Control Number,tblClaims.DCN,Document Control Number uniquely identifying the individual claim record,"This field is the Document Control Number that uniquely identifies each individual claim record. It is the grain of the dataset and the key used for claim-level deduplication, traceability, and linkage back to source systems during investigation.",daily
DME,RISK_TIER,Risk Tier,tblClaims.RISK_TIER,"Ground-truth risk label (High, Medium, or Low) assigned for demonstration and model-validation purposes","This field is a ground-truth risk label of High, Medium, or Low assigned for demonstration and model-validation purposes. It allows analysts to confirm that detection techniques correctly recover known fraudulent records and should be removed before any blind or production evaluation.",quarterly
